"phibase_id","uniprot_a","ensembl_a","taxid_species_a","organism_a","taxid_strain_a","strain_a","uniprot_matches_a","modification_a","uniprot_b","ensembl_b","taxid_species_b","organism_b","taxid_strain_b","strain_b","uniprot_matches_b","modification_b","phenotype","disease","host_tissue","evidence_code","interaction_type","pmid","high_level_terms"
"PHI:62","P52498",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015; PHIPO:0000410","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9308185,"Reduced virulence"
"PHI:65","O14435",,5116,"Cryphonectria parasitica",660469,"EP155","none","gene disruption",,,134033,"Castanea dentata",,,"none",,"PHIPO:0000015; PHIPO:0000052","PHIDO:0000080","BTO:0003973",,"interspecies interaction",9353946,"Reduced virulence"
"PHI:66","P43078",,5476,"Candida albicans",5476,"CAI4","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9398674,"Reduced virulence"
"PHI:67","P43068",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9009353,"Reduced virulence"
"PHI:68","P0CY26",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:68","P0CY26",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10141,"Cavia porcellus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:69","Q00298",,40559,"Botrytis cinerea",332648,"B05.10","none","gene disruption",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024","PHIDO:0000178","BTO:0000486",,"interspecies interaction",9002270,"Unaffected pathogenicity"
"PHI:71","Q00365",,5499,"Fulvia fulva",,"race 5","none","gene deletion",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000280","PHIDO:0000209","BTO:0003973",,"interspecies interaction",9671796,"Effector"
"PHI:72","P0DJ06",,5476,"Candida albicans",5476,"CAI4","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:72","P0DJ06",,5476,"Candida albicans",5476,"CAI4","none","gene disruption",,,10141,"Cavia porcellus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:73","P0CY28",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10141,"Cavia porcellus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:73","P0CY28",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9284116,"Reduced virulence"
"PHI:75","P0CN96",,5207,"Cryptococcus neoformans",235443,"H99","none","gene disruption",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",15972469,"Reduced virulence"
"PHI:75","P0CN96",,5207,"Cryptococcus neoformans",235443,"H99","none","gene disruption",,,9986,"Oryctolagus cuniculus",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",9389652,"Reduced virulence"
"PHI:75","P0CN96",,5207,"Cryptococcus neoformans",235443,"H99","none","gene disruption",,,6239,"Caenorhabditis elegans",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",12438649,"Reduced virulence"
"PHI:76","P87032",,5270,"Ustilago maydis",559306,"FB1; FB2","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000004","PHIDO:0000230","BTO:0003973",,"interspecies interaction",9155019,"Unaffected pathogenicity"
"PHI:77","P87033",,5270,"Ustilago maydis",559306,"FB1; FB2","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000004","PHIDO:0000230","BTO:0003973",,"interspecies interaction",9155019,"Unaffected pathogenicity"
"PHI:78","P87034",,5270,"Ustilago maydis",559306,"FB1; FB2; CL13; SG200","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000010","PHIDO:0000230","BTO:0003973",,"interspecies interaction",9155019,"Loss of pathogenicity"
"PHI:79","P87035",,5270,"Ustilago maydis",559306,"FB1; FB2","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000004","PHIDO:0000230","BTO:0003973",,"interspecies interaction",9155019,"Unaffected pathogenicity"
"PHI:80","Q00313",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9043115,"Reduced virulence"
"PHI:81","O13328",,318829,"Magnaporthe oryzae",,,"none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015","PHIDO:0000315","BTO:0003973",,"interspecies interaction",9401122,"Reduced virulence"
"PHI:82","O13314",,318829,"Magnaporthe oryzae",,,"none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024; PHIPO:0000059","PHIDO:0000315","BTO:0003973",,"interspecies interaction",9390422,"Unaffected pathogenicity"
"PHI:83","O13315",,318829,"Magnaporthe oryzae",,,"none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000030; PHIPO:0000052","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9390422,"Reduced virulence"
"PHI:84","O13316",,318829,"Magnaporthe oryzae",,,"none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000004","PHIDO:0000315","BTO:0003973",,"interspecies interaction",14667055,"Unaffected pathogenicity"
"PHI:85","O14427",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9259554,"Reduced virulence"
"PHI:87","P43064",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",15760450,"Reduced virulence"
"PHI:88","P41749",,5059,"Aspergillus flavus",5059,12,"none","gene deletion",,,3635,"Gossypium hirsutum",,,"none",,"PHIPO:0000015; PHIPO:0000363",,"BTO:0003973","gene complementation","interspecies interaction",9293005,"Reduced virulence"
"PHI:89","O42773",,5207,"Cryptococcus neoformans",,"serotype A strain M049","none","gene disruption",,,9986,"Oryctolagus cuniculus",,,"none",,"PHIPO:0000010","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",9184205,"Loss of pathogenicity"
"PHI:95","P53707",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9244249,"Reduced virulence"
"PHI:96","P43098",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000010","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9009352,"Loss of pathogenicity"
"PHI:97","Q92215",,5017,"Bipolaris zeicola",,"164R10","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024; PHIPO:0000956","PHIDO:0000211","BTO:0003973",,"interspecies interaction",9057326,"Reduced virulence"
"PHI:98","O13394",,5270,"Ustilago maydis",559306,"FB1; FB2","none","gene deletion",,,4577,"Zea mays",,,"none",,"PHIPO:0000015","PHIDO:0000230","BTO:0003973","gene complementation","interspecies interaction",9454647,"Reduced virulence"
"PHI:99","Q8J0D1",,318829,"Magnaporthe oryzae",,,"none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000030","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9742203,"Loss of pathogenicity"
"PHI:100","Q99079",,5270,"Ustilago maydis",237631,"d132; 518; 521","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000010","PHIDO:0000230","BTO:0003973",,"interspecies interaction",9576944,"Loss of pathogenicity"
"PHI:101","O59897",,746128,"Aspergillus fumigatus",,"B-5233","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000309","BTO:0003973","gene complementation","interspecies interaction",9620950,"Reduced virulence"
"PHI:103","O94100",,40559,"Botrytis cinerea",40559,"SAS56","strain","gene disruption",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024","PHIDO:0000178","BTO:0003973",,"interspecies interaction",9768518,"Reduced virulence"
"PHI:103","O94100",,40559,"Botrytis cinerea",40559,"SAS56","strain","gene disruption",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024","PHIDO:0000178","BTO:0003973",,"interspecies interaction",9768518,"Reduced virulence"
"PHI:103","O94100",,40559,"Botrytis cinerea",40559,"SAS56","strain","gene disruption",,,3750,"Malus domestica",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024","PHIDO:0000178","BTO:0003973",,"interspecies interaction",9768518,"Reduced virulence"
"PHI:104","Q00310",,5476,"Candida albicans",5476,"CAI4","none","gene disruption",,,10141,"Cavia porcellus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9636208,"Reduced virulence"
"PHI:104","Q00310",,5476,"Candida albicans",5476,"CAI4","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9636208,"Reduced virulence"
"PHI:105","Q9UWF6",,5476,"Candida albicans",237561,"SC5314","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9748287,"Reduced virulence"
"PHI:106","O13289",,5476,"Candida albicans",5476,"ATCC 10261","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",9573075,"Reduced virulence"
"PHI:107","Q5A1D3",,5476,"Candida albicans",237561,"SC5314","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9596738,"Reduced virulence"
"PHI:107","Q5A1D3",,5476,"Candida albicans",237561,"SC5314","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9596738,"Reduced virulence"
"PHI:109","P87248",,290576,"Colletotrichum lindemuthianum",290576,"UPS9","strain","gene deletion",,,3885,"Phaseolus vulgaris",,,"none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000363; PHIPO:0000024","PHIDO:0000013","BTO:0003973",,"interspecies interaction",9450334,"Reduced virulence"
"PHI:111","Q01905",,4787,"Phytophthora infestans",,"NL-88069","none","gene disruption",,,4113,"Solanum tuberosum",,,"none",,"PHIPO:0000280","PHIDO:0000206","BTO:0003973",,"interspecies interaction",9724689,"Effector"
"PHI:113","O13352",,318829,"Magnaporthe oryzae",,"Guy11","none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000954; PHIPO:0000024; PHIPO:0000052","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9770551,"Loss of pathogenicity"
"PHI:114","O00094",,5507,"Fusarium oxysporum",,"race 2 strain 42-87","none","gene complementation",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000004","PHIDO:0000381","BTO:0003973",,"interspecies interaction",9450333,"Unaffected pathogenicity"
"PHI:115","Q00359",,5017,"Bipolaris zeicola",,"SB111","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000004","PHIDO:0000211","BTO:0003973",,"interspecies interaction",9546185,"Unaffected pathogenicity"
"PHI:116","O60026",,746128,"Aspergillus fumigatus",,"ATCC 46645","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000309","BTO:0003973","gene complementation","interspecies interaction",9832321,"Reduced virulence"
"PHI:120","O42620",,318829,"Magnaporthe oryzae",1274781,"4091-5-8; CP987","none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9574508,"Loss of pathogenicity"
"PHI:121","O42621",,318829,"Magnaporthe oryzae",1274781,"4091-5-8; CP987","none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010; PHIPO:0000057; PHIPO:0000956; PHIPO:0000059","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9574508,"Loss of pathogenicity"
"PHI:122","O42624",,318829,"Magnaporthe oryzae",,9041-05-08,"none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9574508,"Reduced virulence"
"PHI:123","O42622",,318829,"Magnaporthe oryzae",,9041-05-08,"none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024; PHIPO:0000052","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",9574508,"Reduced virulence"
"PHI:124","P53705",,5476,"Candida albicans",5476,"ATCC 10261","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9478896,"Reduced virulence"
"PHI:128","O14448",,318829,"Magnaporthe oryzae",,"Guy11","none","gene mutation: characterised",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000004","PHIDO:0000315","BTO:0003973",,"interspecies interaction",9707535,"Unaffected pathogenicity"
"PHI:129","O59900",,5207,"Cryptococcus neoformans",,"B-4500","none","gene deletion",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",9573112,"Reduced virulence"
"PHI:130","Q92410",,5476,"Candida albicans",237561,"SC5314","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9683476,"Reduced virulence"
"PHI:132","O13407",,318829,"Magnaporthe oryzae",,"Guy11","none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024; PHIPO:0000059","PHIDO:0000315","BTO:0003973",,"interspecies interaction",9927411,"Reduced virulence"
"PHI:133","O93800",,5599,"Alternaria alternata",5599,"15A","strain","gene disruption",,,23211,"Pyrus communis",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000024","PHIDO:0000049","BTO:0003973",,"interspecies interaction",10432635,"Loss of pathogenicity"
"PHI:134","O93801",,5599,"Alternaria alternata",5599,"15A","strain","gene disruption",,,23211,"Pyrus communis",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000024","PHIDO:0000049","BTO:0003973",,"interspecies interaction",10432635,"Loss of pathogenicity"
